state,gender,age
AZ,F,47
AZ,F,41
AZ,F,65
AZ,F,31
AZ,F,40
AZ,M,24
AZ,F,40
AZ,F,56
AZ,F,48
AZ,F,36
AZ,F,54
AZ,M,37
AZ,F,36
AZ,M,36
AZ,F,24
AZ,F,24
AZ,F,39
AZ,M,44
AZ,F,19
AZ,F,26
AZ,M,33
AZ,M,33
AZ,F,18
AZ,F,18
AZ,F,26
AZ,M,63
AZ,F,48
AZ,M,109
AZ,M,36
AZ,F,50
AZ,F,50
AZ,M,109
AZ,F,60
AZ,M,54
AZ,F,60
AZ,F,29
AZ,F,29
AZ,M,27
AZ,F,41
AZ,F,66
AZ,M,43
AZ,M,57
AZ,M,67
AZ,F,60
AZ,F,26
AZ,F,26
AZ,M,41
AZ,M,41
AZ,M,18
AZ,M,45
AZ,F,41
AZ,F,46
AZ,F,46
AZ,F,46
AZ,M,70
AZ,M,70
AZ,M,45
AZ,F,47
AZ,M,58
AZ,M,58
AZ,F,31
AZ,F,109
AZ,F,109
AZ,F,31
AZ,M,45
AZ,F,33
AZ,F,60
AZ,F,65
AZ,M,31
AZ,M,59
AZ,F,21
AZ,F,71
AZ,F,51
AZ,F,28
AZ,F,21
AZ,F,30
AZ,F,38
AZ,F,38
AZ,M,55
AZ,F,30
AZ,M,18
AZ,M,29
AZ,M,25
AZ,M,109
AZ,M,45
AZ,M,45
AZ,M,63
AZ,F,26
AZ,M,25
AZ,F,36
AZ,F,32
AZ,F,31
AZ,F,31
AZ,M,46
AZ,M,46
AZ,F,71
AZ,F,31
AZ,F,31
AZ,F,31
AZ,F,30
AZ,F,60
AZ,F,43
AZ,F,31
AZ,M,41
AZ,M,41
AZ,F,60
AZ,F,66
AZ,F,25
AZ,F,50
AZ,F,46
AZ,F,46
AZ,F,50
AZ,F,50
AZ,M,29
AZ,M,29
AZ,F,50
AZ,F,24
AZ,F,41
AZ,F,32
AZ,F,27
AZ,F,24
AZ,F,74
AZ,F,74
AZ,F,19
AZ,F,59
AZ,M,36
AR,F,45
AR,M,25
AR,F,20
AR,F,45
AR,M,56
CA,F,57
CA,F,61
CA,M,104
CA,M,104
CA,M,28
CA,M,28
CA,F,76
CA,M,32
CA,F,63
CA,F,76
CA,F,50
CA,F,19
CA,M,47
CA,F,38
CA,M,55
CA,F,71
CA,F,63
CA,F,57
CA,M,55
CA,F,53
CA,F,29
CA,F,35
CA,M,35
CA,M,40
CA,F,38
CA,F,109
CA,M,45
CA,M,57
CA,M,41
CA,M,41
CA,M,55
CA,F,24
CA,M,45
CA,M,47
CA,M,57
CA,M,45
CA,M,20
CA,M,20
CA,M,57
CA,M,45
CO,F,27
CO,M,26
CO,F,72
CO,F,40
CO,F,28
CO,F,35
CO,M,29
CO,M,29
CO,M,36
CO,F,28
CO,F,35
CO,M,23
CO,M,29
CO,F,31
CO,F,34
CO,F,53
CO,M,55
CO,F,25
CO,F,62
CO,M,29
CO,F,22
CO,F,44
CO,F,57
CO,F,57
CO,M,60
CO,M,19
CO,M,19
CO,F,45
CO,F,45
CO,M,49
CO,M,29
CO,F,47
CO,F,39
CO,F,35
CO,M,31
CO,M,49
CO,M,26
CO,F,27
CO,F,61
CO,F,61
CO,F,59
CO,M,42
CO,M,41
CO,F,58
CO,F,101
CO,F,35
CO,F,27
CO,F,27
CO,F,26
CO,F,22
CO,M,62
CO,M,62
CO,F,26
CO,F,28
CO,F,37
CO,F,28
CO,F,28
CO,F,37
CO,F,44
CO,F,47
CO,M,41
CO,M,41
CO,F,38
CO,M,36
CO,F,38
CO,M,42
CO,M,42
CO,F,56
CO,F,25
CO,F,25
CO,M,26
CO,M,29
CO,F,32
CO,M,26
CO,M,24
CO,M,24
CO,M,25
DE,M,29
DE,F,18
DC,F,56
FL,M,29
FL,M,41
FL,M,41
FL,F,56
FL,F,33
GA,F,49
GA,F,24
GA,M,32
GA,M,55
GA,F,49
IL,F,21
IL,M,43
IL,M,40
IL,M,40
IL,M,38
IL,M,55
IL,M,55
IL,M,45
IL,F,31
IL,F,51
IL,M,38
IL,M,32
IL,F,27
IL,F,56
IL,M,27
IL,M,44
IL,F,23
IL,F,21
IL,F,56
IL,F,56
IL,M,49
IL,F,59
IL,F,34
IL,F,51
IL,M,42
IN,F,74
IA,F,37
IA,F,53
IA,M,23
IA,M,23
IA,F,36
IA,F,28
IA,F,36
IA,M,39
IA,M,39
IA,F,57
IA,F,53
IA,F,53
IA,M,64
IA,M,64
IA,F,29
IA,M,32
IA,F,52
IA,F,55
IA,F,55
IA,M,25
IA,M,25
IA,M,41
IA,F,37
IA,M,29
IA,F,28
IA,M,29
IA,M,41
IA,M,36
IA,F,39
IA,F,39
IA,M,34
IA,M,34
KS,F,30
KS,M,25
KS,F,39
KS,M,22
KS,M,22
KS,F,38
KS,F,45
KS,F,39
KS,F,28
KS,F,60
KS,F,74
KS,F,39
KS,M,37
KS,M,37
KS,F,29
KS,M,28
KS,M,28
KS,M,65
KS,F,35
KS,M,26
KS,M,26
KS,M,26
KS,F,51
KS,F,55
KS,M,39
KS,F,55
KS,F,49
KS,F,35
KS,M,25
KS,F,38
KS,M,65
KS,F,40
KS,M,29
KS,F,40
KS,M,26
KS,F,40
KS,F,30
KS,M,35
KS,F,38
KS,F,38
KS,F,30
KS,F,33
KS,M,34
KS,M,34
KS,M,37
KS,F,65
KS,M,60
KS,M,37
KS,M,37
KS,M,28
KS,F,38
KS,F,55
KS,F,30
KS,M,60
KS,F,40
KS,F,59
KS,F,48
KS,F,65
KS,F,49
KS,F,49
KS,F,65
KS,M,37
KS,F,65
KS,M,62
KS,M,36
KS,M,36
KS,F,32
KS,F,29
KS,M,37
KS,M,29
KS,M,33
KS,F,74
KS,F,36
KS,F,21
KS,M,62
KS,M,45
KS,M,45
KS,M,30
KS,M,19
KS,F,40
KS,F,40
KS,M,37
KS,M,24
KS,M,18
KS,M,18
KS,M,24
KS,F,26
KS,F,26
KS,F,62
KS,F,33
KS,M,27
KS,F,51
KS,M,27
KS,F,65
KS,F,38
KS,F,38
KS,F,48
KS,F,22
KS,M,37
KS,F,19
KS,F,60
KS,F,38
KS,F,39
KS,F,19
KS,M,37
KS,F,65
KS,F,31
KS,F,31
KS,M,33
KS,F,25
KS,M,59
KS,M,30
KS,F,32
KS,M,28
KS,F,22
KS,M,33
KS,F,40
KS,F,40
KS,M,34
KS,M,34
KS,F,40
KS,F,23
KS,F,36
KS,F,22
KS,F,40
KS,F,36
KS,F,67
KS,F,40
KS,F,61
KS,F,24
KS,F,24
KS,F,34
KS,F,34
KS,F,34
KS,F,34
KS,M,62
KS,F,25
KS,F,60
KS,F,48
KS,F,48
KS,F,30
KS,M,34
KS,F,26
KS,M,43
KS,M,47
KS,M,47
KS,F,31
KS,F,31
KS,F,31
KS,M,51
KS,F,18
KS,M,55
KS,M,33
KS,M,33
KY,M,24
KY,M,19
KY,M,24
KY,M,19
LA,F,23
LA,M,45
LA,F,47
LA,M,45
LA,F,47
LA,F,23
ME,M,55
MD,M,18
MA,M,42
MA,F,40
MA,M,57
MA,M,57
MA,F,51
MA,F,39
MA,F,51
MA,F,30
MA,F,29
MA,F,39
MA,F,29
MI,M,42
MI,F,29
MI,F,32
MN,F,44
MS,M,47
MO,F,32
MO,M,33
MO,M,31
MO,M,42
MO,M,42
MO,M,42
MO,M,42
MO,M,33
MO,M,29
MO,F,35
MO,M,27
MO,F,43
MO,M,38
MO,F,53
MO,M,31
MO,M,31
MO,F,34
MO,F,30
MO,F,30
MO,F,30
MO,M,31
MO,M,32
MO,M,30
MO,M,30
MO,M,47
MO,F,25
MO,M,30
MO,F,32
MO,F,56
MO,F,63
MO,F,63
MO,M,33
MO,F,39
MO,F,26
MO,F,26
MO,F,41
MO,M,65
MO,M,65
MO,F,56
MO,F,30
MO,M,53
MO,F,59
MO,F,28
MO,F,25
MO,F,35
MO,F,24
MO,F,24
MO,F,51
MO,M,40
MO,M,40
MO,F,27
MO,M,31
MO,M,43
MO,M,43
MO,F,30
MO,M,36
MO,M,36
MO,F,26
MO,F,26
MO,F,26
MO,F,36
MO,F,36
MO,F,23
MO,M,40
MO,F,31
MO,M,27
MO,F,27
MO,F,27
MO,F,36
MO,F,42
MO,F,42
MO,F,58
MO,F,33
MO,F,33
MO,M,42
MO,M,42
MO,F,53
MO,F,53
MO,F,23
MO,F,31
MO,F,31
MO,F,46
MO,F,46
MO,F,46
MO,F,46
MO,M,25
MO,F,30
MO,F,30
MO,F,25
MO,M,26
MO,F,33
MO,F,33
MO,M,42
MO,M,35
MO,M,35
MO,M,35
MO,F,24
MO,F,24
MO,F,30
MO,F,30
MO,M,26
MO,M,36
MO,F,26
MO,F,26
MO,M,42
MO,F,51
MO,M,34
MO,M,39
MO,M,32
MO,M,32
MO,F,25
MO,F,25
MO,F,25
MO,F,40
MO,M,29
MO,F,26
MO,F,26
MO,F,41
MO,F,41
MO,M,33
MO,M,33
MO,F,60
MO,F,60
MO,F,56
MO,F,27
MO,F,54
MO,M,42
MO,F,26
MO,F,26
MO,M,28
MO,M,49
MO,M,49
MO,F,38
MO,F,38
MO,F,28
MO,F,38
MO,F,38
MO,F,31
MO,F,31
MO,M,27
MO,M,59
MO,M,34
MO,M,34
MO,F,22
MO,F,60
MO,M,40
MO,F,27
MO,F,46
MO,F,46
MO,F,46
MO,M,24
MO,M,64
MO,M,64
MO,M,64
MO,M,22
MO,M,34
MO,F,25
MO,F,60
MO,F,60
MO,M,64
MO,M,64
MO,M,64
MO,M,43
MO,M,43
MO,M,38
MO,M,38
MO,F,47
MO,F,47
MO,M,33
MO,M,33
MO,F,30
MO,F,30
MO,F,63
MO,F,63
MO,F,63
MO,F,56
MO,F,56
MO,F,44
MO,F,31
MO,F,28
MO,F,28
MO,F,39
MO,F,39
MO,F,69
MO,F,69
MO,F,69
MO,F,69
MO,F,109
MO,F,109
MO,F,28
MO,F,28
MO,M,29
MO,F,49
MO,F,36
MO,M,37
MO,M,51
MO,M,33
MO,M,33
MO,F,28
MO,F,28
MO,M,29
MO,F,23
MO,M,39
MO,F,31
MO,F,31
MO,F,31
MO,F,60
MO,M,34
MO,F,25
MO,F,25
MO,F,34
MO,F,34
MO,F,46
MO,M,24
MO,F,21
MO,F,21
MO,F,54
MO,F,60
MO,F,60
MO,M,31
MO,M,31
MO,M,31
MO,F,43
MO,M,36
MO,M,31
MO,M,31
MO,M,31
MO,F,40
MO,F,40
MO,M,28
MO,M,34
MO,M,34
MO,F,48
MO,F,48
MO,F,40
MO,M,30
MO,M,30
MO,M,30
MO,F,50
MO,F,50
MO,F,67
MO,F,67
MO,M,25
MO,M,25
MO,F,26
MO,M,45
MO,M,45
MO,M,40
MO,F,48
MO,F,48
MO,F,35
MO,F,35
MO,M,104
MO,M,30
MO,F,58
MO,M,30
MO,M,60
MO,M,54
MO,F,36
MO,F,36
MO,F,33
MO,F,33
MO,F,58
MO,M,35
MO,F,49
MO,M,55
MO,M,32
MO,M,51
MO,M,51
MO,M,29
MO,M,35
MO,M,35
MO,M,67
MO,M,67
MO,F,36
MO,F,49
MO,F,49
MO,M,27
MO,M,27
MO,F,60
MO,F,66
MO,F,66
MO,F,66
MO,F,66
MO,M,18
MO,F,18
MO,F,18
MO,F,19
MO,F,19
MO,M,29
MO,M,29
MO,F,25
MO,M,21
MO,M,21
MO,F,54
MO,F,54
MO,M,21
MO,M,19
MO,M,19
MO,M,18
MO,M,18
MO,F,19
MO,F,19
MO,F,19
MO,F,19
MO,M,18
MO,M,18
MO,M,18
MO,M,18
MO,F,18
MO,M,18
MO,M,18
MO,F,19
MO,F,19
MO,M,18
MO,M,18
MO,M,18
MO,M,18
MO,M,18
MO,M,19
MO,M,38
MO,M,38
MO,M,45
MO,M,45
MO,F,40
MO,F,40
MO,F,40
MO,F,40
MO,M,63
MO,M,63
MO,M,63
MO,M,63
MO,M,63
MO,M,63
MO,F,38
MO,F,38
MO,M,67
MO,F,43
MO,F,34
MO,F,34
MO,M,63
MO,M,63
MO,F,58
MO,F,58
MO,F,58
MO,F,58
MO,F,77
MO,F,77
MO,M,67
MO,M,45
MO,F,65
MO,F,37
MO,F,55
MO,F,55
MO,M,53
MO,M,53
MO,F,32
MO,M,25
MO,M,56
MO,M,56
MO,F,43
MO,F,34
MO,F,23
MO,F,56
MO,F,56
MO,M,44
MO,M,44
MO,M,44
MO,M,42
MO,M,42
MO,F,24
MO,F,24
MO,F,58
MO,F,58
MO,F,52
MO,F,52
MO,F,52
MO,F,32
MO,F,32
MO,F,21
MO,F,66
MO,F,66
MO,F,34
MO,F,34
MO,F,60
MO,F,60
MO,F,50
MO,F,43
MO,F,43
MO,F,43
MO,F,43
MO,F,51
MO,F,51
MO,F,51
MO,F,36
MO,F,36
MO,F,44
MO,F,44
MO,F,44
MO,F,44
MO,F,28
MO,F,28
MO,F,28
MO,F,47
MO,F,47
MO,M,53
MO,M,53
MO,M,50
MO,M,50
MO,M,53
MO,F,40
MO,M,27
MO,M,27
MO,M,27
MO,F,22
MO,F,22
MO,M,26
MO,M,26
MO,M,26
MO,M,26
MO,M,29
MO,M,29
MO,M,45
MO,F,52
MO,F,20
MO,F,20
MO,F,63
MO,F,66
MO,F,66
NJ,F,54
NJ,M,24
NY,M,32
NY,M,32
NY,F,40
NY,F,67
NY,F,67
NC,M,70
NC,F,21
NC,F,51
NC,F,39
NC,F,39
NC,M,70
NC,F,54
NC,F,35
NC,F,35
NC,F,69
NC,F,51
NC,F,61
NC,F,61
NC,M,18
NC,M,18
NC,F,20
NC,F,49
ND,F,23
OH,F,44
OH,F,38
OH,M,59
OH,F,38
OH,F,41
OH,M,48
OH,M,54
OH,F,27
OH,M,31
OH,F,41
OH,F,37
OH,F,41
OK,F,29
OK,F,29
OR,M,25
OR,M,25
PA,F,58
PA,M,18
PA,M,44
PA,M,19
PA,M,44
PA,M,42
PA,M,18
SC,F,24
SD,F,70
SD,F,23
NE,M,47
NE,M,68
NE,F,32
NE,F,32
NE,F,35
NE,F,42
NE,F,35
NE,F,33
NE,F,59
NE,F,31
NE,M,55
NE,M,55
NE,M,64
NE,F,36
NE,F,40
NE,F,40
NE,F,32
NE,F,32
NE,M,62
NE,M,62
NE,F,32
NE,M,109
NE,F,29
NE,M,41
NE,M,63
NE,M,42
NE,M,42
NE,M,41
NE,F,41
NE,F,62
NE,F,31
NE,M,29
NE,M,29
NE,F,53
NE,F,40
NE,F,39
NE,F,40
NE,M,102
NE,M,49
NE,F,65
NE,M,49
NE,F,26
NE,F,26
NE,F,51
NE,F,51
NE,F,39
NE,F,39
NE,F,40
NE,F,43
NE,F,55
NE,F,55
NE,F,48
NE,F,30
NE,M,47
NE,F,35
NE,F,35
NE,M,58
NE,M,57
NE,M,57
NE,M,57
NE,M,65
NE,M,65
NE,M,65
NE,M,58
NE,F,40
NE,M,25
NE,F,49
NE,F,39
NE,F,51
NE,M,46
NE,F,77
NE,F,77
NE,F,35
NE,F,35
NE,F,41
NE,F,59
NE,M,27
NE,M,27
NE,F,59
NE,F,36
NE,M,109
NE,F,109
NE,F,109
NE,F,24
NE,F,41
NE,M,33
NE,M,65
NE,M,35
NE,F,67
NE,F,45
NE,F,45
NE,M,65
NE,F,41
NE,M,26
NE,F,26
NE,M,19
NE,M,19
NE,F,34
NE,M,58
NE,M,58
NE,F,32
NE,F,26
NE,F,56
NE,F,56
NE,M,58
NE,F,59
NE,F,32
NE,M,19
NE,M,19
NE,F,55
NE,M,49
NE,F,19
NE,F,59
NE,F,66
NE,F,66
NE,F,32
NE,M,24
NE,M,63
NE,M,63
NE,M,27
NE,M,27
NE,F,36
NE,F,38
NE,F,32
NE,F,32
NE,F,37
NE,F,42
NE,F,69
NE,M,27
NE,M,28
NE,M,26
NE,M,26
NE,M,28
NE,M,28
NE,M,39
NE,M,39
NE,M,48
NE,F,37
NE,F,22
NE,F,22
NE,F,29
NE,M,34
NE,F,41
NE,M,34
NE,F,36
NE,F,43
NE,F,43
NE,M,30
NE,M,30
NE,M,29
NE,M,34
NE,F,36
NE,F,36
NE,M,29
NE,M,29
NE,M,31
TN,F,61
TN,F,63
TN,M,53
TN,M,53
TN,F,61
TX,F,30
TX,M,74
TX,M,20
TX,M,53
TX,M,55
TX,M,63
TX,F,24
TX,F,30
TX,M,46
TX,M,46
TX,M,31
TX,F,24
TX,M,40
TX,M,40
TX,M,53
TX,M,29
TX,F,58
TX,M,35
TX,M,36
TX,M,29
TX,F,31
TX,F,18
TX,F,41
TX,F,41
TX,F,26
TX,F,62
TX,F,25
TX,F,32
TX,F,34
TX,F,30
TX,F,51
TX,M,40
TX,M,40
TX,F,25
VA,F,44
WA,F,36
WV,M,32
WI,M,41
WI,F,36
WI,M,41
WI,M,41
WI,F,44
WI,M,41
WI,F,36
WI,M,41
WI,M,41
